	Ler.1	Ler.2	Ler.3	Mp.1	Mp.2	Mp.3
AT1G48100	1.1101044955975548	0.8799657040990441	1.5558145674002875	1.3449146749221912	1.5504889309676642	1.0633797172077295
AT1G48110	28.39684764747201	26.583437800332394	28.687576602408335	27.184569754879963	28.930307038384036	26.55901444105326
AT1G48120	6.637145318218557	6.649921491648683	5.660260163240614	6.906162428185265	6.7819184656192935	7.1174468116814635
AT1G48130	0.9802290290649766	0.909735041052594	1.4575616471623367	0.34166138460343676	0.0	0.0
AT1G48140	23.850889010322497	22.541725470057095	20.280032416247355	18.310107236464987	22.280968236820623	21.781803147995664
AT1G48145	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48150	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48160	39.35459459194086	43.485103624732034	36.04267160086512	35.41776741143362	34.103151449241274	38.63919864214695
AT1G48170	4.303192934673957	6.021308802966855	5.775216199929952	6.590282043231077	6.605683862973016	6.502451680832456
AT1G48175	6.856735994810152	7.609346289463609	6.140854887912531	7.568671254130928	8.876095714037293	8.960810036356415
AT1G48180	0.0	0.0	0.07720877272633626	0.15202496062816787	0.0	0.07727215306990441
AT1G48190	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48195	0.0	0.0	0.0	0.0	0.16278032841649678	0.0
AT1G48200	14.077385389174465	12.238971178982345	11.087541208991894	13.738786298849355	11.525863305953512	12.914196505258927
AT1G48210	29.6018201442803	27.46165523646646	26.01060145594157	24.802511291598343	26.391727187424316	27.44844426104524
AT1G48220	0.06348229829866746	0.0	0.0	0.0	0.18814507137180708	0.06298209736519607
AT1G48230	30.85219533536001	28.756733168218954	28.327158915099897	30.761353441494624	31.83652320459224	31.387956758271304
AT1G48240	10.717868700174275	12.0051016632361	11.815395590001126	16.501670118876568	16.612721367365843	16.82096817954859
AT1G48250	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48260	1.535027788214137	1.6438095978524616	2.2825253742623506	3.1567238405038567	2.3288719814116177	2.6923274981635306
AT1G48268	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48270	6.083146124309519	5.218228260969089	5.602922928285342	6.3575502914890665	6.672100670559897	6.9381208653050095
AT1G48280	5.088893217314542	6.053321561223325	4.795974611304367	5.036442194923701	5.59385275515366	4.764356705085339
AT1G48285	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48290	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48300	474.92374899394673	426.3536379101584	433.891553771946	331.123211427921	364.49576935481844	361.41600833033596
AT1G48310	13.873719744606909	14.0513254522457	14.486613004246896	16.09757857528866	15.381218142473555	17.190210571339936
AT1G48315	0.6155269587273094	0.3312636732155849	0.6101760991450432	0.5083031250632739	0.5613114772982648	0.5637018369543985
AT1G48320	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48325	0.31891322328104765	0.4781188131388074	0.1580704336246712	0.31124250003874365	0.47258805024144224	0.31640038590343655
AT1G48330	16.990376895490297	11.29349610345114	13.817536180639365	18.51356250230458	19.229444802927652	9.164700833065059
AT1G48340	0.16851664639282632	0.16842821826480717	0.08352585413121832	0.24669504974661785	0.08323994066752677	0.08359442013926023
AT1G48350	217.3996245326406	216.04627417557091	227.39145572846726	255.49209804601787	233.63604662187157	216.50675236067934
AT1G48355	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48360	6.940467183729508	6.613106704038481	6.559059896332301	8.692697124717018	7.79364786131402	7.298927467011102
AT1G48370	5.771947409383034	6.390186772010887	5.839140748686209	5.719779836041344	6.667170337537953	6.54873014296544
AT1G48380	8.982513781926087	8.853108589892164	7.750149920060998	9.375242047577581	9.408027393897921	8.746705003466287
