	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G04140	27580.3648731436	0.529375700713192	0.0618759398161328	8.55543693212995	1.17423112542365e-17	1.80149781694028e-15
AT1G49130	1136.98891667469	-0.93232877692072	0.109092465878928	-8.54622516238136	1.2717978388697e-17	1.93557456693257e-15
AT1G54820	1007.00605259285	0.80733334323194	0.0945723755706028	8.53667192307364	1.38143074047902e-17	2.08574114340261e-15
AT1G60140	2789.32807493217	-0.654960046377247	0.0775802480078606	-8.44235566649498	3.11005332722619e-17	4.65871295253158e-15
AT4G04840	645.888466742641	1.08620618837328	0.128801624223239	8.43317151413143	3.36421082550544e-17	5.00005833940745e-15
ATCG00190	788.420885520338	-1.18708372445386	0.140801524359275	-8.43090108474143	3.43013605274594e-17	5.05852002073169e-15
ATCG01210	133.197243747424	-2.60081700286294	0.309367959691686	-8.40687253280817	4.2108828614188e-17	6.16214119658702e-15
AT1G54010	2507.081820506	-0.870001560857581	0.103651387024113	-8.39353515505958	4.71738518364642e-17	6.85065158272439e-15
ATCG00100	241.499486602964	-1.83109456943395	0.218605452783337	-8.37625295307148	5.46394116475756e-17	7.87469823623848e-15
AT5G14920	4984.34248390307	-0.794329703283651	0.0949075743555861	-8.36950800478338	5.78592981129415e-17	8.27605479173383e-15
AT5G20250	12224.3015121371	-0.847473287458789	0.101276818002368	-8.36789014677545	5.86590398099694e-17	8.32783263690192e-15
AT1G69490	393.905546856306	-1.30987423297713	0.156615097748679	-8.36365236689434	6.08059116426641e-17	8.56867898585216e-15
AT5G17840	402.005146897028	0.966292334460472	0.115891048662105	8.33793761999527	7.55974339055659e-17	1.05747469310256e-14
ATCG00630	1167.85333830553	-1.01922947233589	0.122459359345931	-8.32300183325883	8.57631194851221e-17	1.19091794531749e-14
AT1G68520	6744.63104478542	-0.540230149377584	0.0650520421670377	-8.30458401275713	1.0016977019822e-16	1.38089109293546e-14
AT3G30700	71.4125685958454	-2.26474963411215	0.273739448217711	-8.27337692414336	1.30217211715896e-16	1.7821958530095e-14
AT1G33590	3128.60203621534	-0.599859531339431	0.072730788479096	-8.24766985046285	1.61512844568617e-16	2.18810103800463e-14
AT5G64940	2960.11258124547	0.666332425567431	0.0807951784515365	8.24718056619081	1.62175276681378e-16	2.18810103800463e-14
AT1G28190	427.145929270487	-0.987862815233177	0.11981479032171	-8.24491544475191	1.65277049682037e-16	2.21424689658526e-14
AT3G03780	5137.78394780557	0.533191763412434	0.064676745680081	8.24394854450207	1.66618831238829e-16	2.21661303880244e-14
AT4G11650	686.841407660906	-1.15290646874227	0.140170388527817	-8.2250358356785	1.95132506523336e-16	2.57791722506941e-14
AT4G33050	731.717962287449	-1.35398476984223	0.165303278097464	-8.19091300200301	2.59251942087096e-16	3.40138548018269e-14
AT5G01075	158.200879109736	1.44184312284548	0.176213435732395	8.18236768866545	2.78320271677997e-16	3.62655126602892e-14
AT5G26000	30324.759973687	0.698918556563132	0.0855713055154522	8.16767434308834	3.14391211830011e-16	4.06869279854022e-14
AT4G28780	855.994034212829	0.800108664217432	0.0986936631204876	8.10699125880696	5.18885922069388e-16	6.6697876901676e-14
ATCG00600	89.5648687825723	-2.74456783717877	0.340735830856076	-8.05482602250319	7.95919362098551e-16	1.01621274795724e-13
AT1G35617	128.918902629176	1.59323722622951	0.198400121901245	8.03042463362272	9.71358717050277e-16	1.23194188221096e-13
AT2G34810	321.078269833373	1.08732321469845	0.135511457806507	8.02384707757341	1.02483871025618e-15	1.29116103469626e-13
ATMG00030	1405.23911158902	-0.96544680868117	0.120744773694808	-7.99576477836973	1.28772020174906e-15	1.61168349461014e-13
AT5G07010	175.432277208919	-1.36960998117793	0.171342722725702	-7.99339452175334	1.31273196152066e-15	1.6322492049653e-13
AT3G52720	495.019615282208	0.893744294443606	0.111962576837129	7.98252701653808	1.43367414787679e-15	1.77105305124727e-13
AT1G78830	4752.9406929951	-0.689045514998196	0.0864565067115553	-7.96985144561829	1.58865219610285e-15	1.94983995991359e-13
AT4G15540	730.7217047953	0.725652235451055	0.0912800565023907	7.94973473128875	1.8691130882133e-15	2.2793594480878e-13
ATMG01360	179.882764482804	-1.8683481429774	0.235253821543895	-7.94183971472189	1.99204256856847e-15	2.41379731365902e-13
AT3G27690	10827.4824107614	0.907177963254879	0.114524427168354	7.92126174026876	2.35112426706562e-15	2.83087266181369e-13
AT1G23870	1944.97120469855	-0.691341227945301	0.0873235465956435	-7.91700812550131	2.43293853707619e-15	2.91095740436085e-13
AT5G41761	118.950244065452	-1.71070044126667	0.216216672163595	-7.91197285643315	2.53341638216244e-15	3.01223207839114e-13
AT1G55850	1625.26336409677	-0.674818990305601	0.0855002825576714	-7.89259368646442	2.95969990577078e-15	3.45885282724471e-13
AT4G33270	682.343138101245	0.723563918523054	0.0916782192871168	7.89242989392066	2.96358815622838e-15	3.45885282724471e-13
ATCG00360	483.884358883503	-1.47013900956772	0.186267367550537	-7.89262783331522	2.95888993099462e-15	3.45885282724471e-13
AT3G16240	4247.80088358617	0.660171185296782	0.0843733534170851	7.82440377868283	5.10068484223719e-15	5.90308223309904e-13
ATCG00660	287.783777938611	-1.78065827228244	0.227591258853861	-7.82393085415388	5.11989365255121e-15	5.90308223309904e-13
AT5G22860	133.817120415229	1.45937896976455	0.187427404338449	7.78636920740395	6.89622383696181e-15	7.9032386912266e-13
AT3G44860	182.421724386855	1.68749655336322	0.217480759567647	7.75929124359312	8.54053189115186e-15	9.72904662857922e-13
AT5G15510	239.389110987561	1.21035847631995	0.156421895560091	7.73778167043738	1.01166376710087e-14	1.14558878007899e-12
ATCG00560	102.139838469898	-2.60171036703182	0.336316670154935	-7.73589476202076	1.02678372551416e-14	1.15583039018825e-12
AT2G38750	354.60658653819	0.93624630282933	0.12110960609754	7.73057012567024	1.07065991606216e-14	1.19813142606862e-12
AT1G69690	298.726059813993	1.02656573186692	0.133010430711318	7.71793404755559	1.18230345637717e-14	1.31532988035786e-12
AT1G26150	2000.90652159011	0.582911898031451	0.0758563756616083	7.68441535661806	1.53697253645306e-14	1.6999631124118e-12
AT5G43580	253.739815870051	-1.14325420917595	0.149003954337298	-7.67264341581151	1.68487405326252e-14	1.85277710920614e-12
AT2G18700	2839.53718874936	-0.556349152452107	0.0725464389687048	-7.6688692148226	1.73519250059398e-14	1.89714380064942e-12
AT4G17470	62.4047560433636	2.92205834457291	0.381319972206782	7.66300890997742	1.81626739738518e-14	1.97443834102032e-12
AT1G11080	233.006887010338	1.14567001336532	0.149639564808914	7.65619717504732	1.91519604960796e-14	2.07015282089443e-12
AT5G02940	3940.53388829432	0.707884279406404	0.0924925496295384	7.65341946180208	1.95704226186461e-14	2.10343344574646e-12
AT1G20840	2665.24215008861	-0.483652337397246	0.0639636766367534	-7.56135924055591	3.98878914614044e-14	4.26307442225707e-12
AT5G03230	852.401703245659	-0.772786516185838	0.10252329418801	-7.53766763257414	4.7845140002712e-14	5.08494940453404e-12
AT2G03890	2188.12970471394	-0.54177869281326	0.0719753426179621	-7.52728188720083	5.18074471923185e-14	5.47547152992593e-12
AT3G52400	625.473035710671	-1.09276420389222	0.14543185260213	-7.51392617463099	5.73799504237245e-14	6.03091810420406e-12
AT3G51150	783.993216486576	0.694206303648396	0.0924686250448761	7.50747946464533	6.0276636098526e-14	6.30056442383713e-12
AT2G35300	41.2626596938409	-3.61633903191123	0.483229123080283	-7.48369429569835	7.22619383803003e-14	7.51208259970946e-12
AT1G33790	242.749256431465	-1.53178739414795	0.205116284924158	-7.46789751342431	8.14862673107803e-14	8.4249714636972e-12
AT3G47800	1900.2195524406	-0.536287285988384	0.071892140041956	-7.45960943262237	8.67793288667499e-14	8.92372947222189e-12
AT3G51950	4219.17548669035	0.482804504547122	0.0647287690772757	7.45888592398121	8.7257111306293e-14	8.9246198144673e-12
AT2G32100	1160.28070326201	0.806504668036685	0.108174065697634	7.45561944848234	8.94465753898867e-14	9.02731464095465e-12
AT3G52060	3603.21416257697	-0.462582582463347	0.0620477396291323	-7.45526888212633	8.96847386007374e-14	9.02731464095465e-12
AT5G61420	1816.7935742074	0.669517981775811	0.0898003379034873	7.45562875827231	8.94402591068409e-14	9.02731464095465e-12
AT4G13410	109.53396562811	1.75591475830369	0.235689790156421	7.45010955772983	9.32627515054193e-14	9.2891653646026e-12
AT5G61270	545.055301294129	0.776009177021431	0.104157824700093	7.45032050406043	9.31137462457965e-14	9.2891653646026e-12
AT1G30700	633.158090469821	-1.25728113962741	0.169301924308354	-7.42626609097186	1.11706167985055e-13	1.10682194778525e-11
AT5G25980	35.4371773078993	4.16879758315624	0.562675369974128	7.40888584362227	1.27364878086841e-13	1.25543494338034e-11
AT1G19715	1293.58564103409	0.579656704666945	0.0782459642692696	7.40813548762923	1.2808741147969e-13	1.25604892576785e-11
AT3G19050	784.972600496467	0.656188995457965	0.0886250352035488	7.40410420092774	1.3203871788223e-13	1.28815618922643e-11
AT1G66350	32.7010475053267	-5.00853382963626	0.677171479875834	-7.39625630801022	1.40077510536212e-13	1.35960946961271e-11
AT3G44300	199.164911563114	-1.31532366587272	0.177969354136736	-7.39073124276296	1.4602350606314e-13	1.41012750220567e-11
AT1G24020	623.427138121941	0.988001262420463	0.134849466254731	7.32669761224063	2.35893260909608e-13	2.25509215856501e-11
AT5G15500	34.8366879289899	3.37991381336865	0.461287224938006	7.32713509207391	2.35124785029317e-13	2.25509215856501e-11
AT5G10180	1712.17678483489	0.539293981575363	0.0736188642342954	7.32548630279102	2.38033940325396e-13	2.26417884037517e-11
AT5G02515	110.690890259842	1.62702169045967	0.222252002452953	7.3206165636419	2.46834197887668e-13	2.33620586100248e-11
AT1G56510	364.9401066103	-1.2669407469722	0.173460937753869	-7.303896562406	2.79551318725739e-13	2.63276449873191e-11
AT5G16030	2320.27571663742	0.565469949845555	0.0774385382317981	7.30217747851754	2.83147429324946e-13	2.65349590910235e-11
ATCG01040	143.896521510583	-1.96260245436912	0.268911304311088	-7.29832633625064	2.91369260215776e-13	2.71716117958085e-11
AT4G33000	918.172865520508	0.643464125924256	0.0888718741099272	7.24035733879477	4.47504090988536e-13	4.15283796437362e-11
ATCG00610	112.847951642218	-2.08730612577673	0.288933798183733	-7.22416740062169	5.04181204078668e-13	4.65608894485077e-11
AT5G21940	3963.77926870042	-0.460330981678294	0.0638183884848202	-7.21314017178275	5.46760793654407e-13	5.02491658863838e-11
AT4G37980	1692.01366195262	0.732141134738445	0.10173735101791	7.19638488139482	6.18299432487366e-13	5.65506173251906e-11
AT4G12980	938.389697770001	0.847973699683282	0.118019926263921	7.18500448633572	6.72049799839783e-13	6.08813113912002e-11
AT5G49360	4638.33054981856	-0.711511580888273	0.0990256519011886	-7.18512392726528	6.71462533820717e-13	6.08813113912002e-11
AT3G46490	105.868172737786	1.6412682692134	0.228765624279535	7.1744532177085	7.2596740973518e-13	6.54540474066449e-11
AT5G47240	1505.88232367638	0.539243500373943	0.0754597317660458	7.14610942490234	8.92719063238524e-13	8.01089031087249e-11
ATCG00590	117.478518007741	-2.04233424758903	0.285884297909498	-7.14391892987273	9.07069114745952e-13	8.10144734221924e-11
AT4G32208	38.8783757952917	-6.28717603854037	0.880661795979846	-7.13914929345278	9.39102943872397e-13	8.34836187113481e-11
